name_zh,name,year,produce_area,type,language,language_print,update,score,video_size,file_size,time,director,down_url
我仍然相信/依然相信(台)/信念依存 ,I Still Believe ,2020 ,美国 ,剧情/爱情/音乐 ,英语 ,中英双字幕 ,2020-03-13(美国) ,6.0/10 from 164 users ,1920 x 1080 ,2 GB ,115分钟 ,安德鲁·欧文 Andrew Erwin ,ftp://ygdy8:ygdy8@yg90.dydytt.net:6015/阳光电影www.ygdy8.com.我仍然相信.BD.1080p.中英双字幕.mkv
阿肯色 ,Arkansas ,2020 ,美国 ,惊悚 / 犯罪 ,英语 ,中英双字幕 ,2020-05-01(美国) ,6.0/10 from 164 users ,1920 x 1080 ,2 GB ,115分钟 ,克拉克·杜克 Clark Duke ,ftp://ygdy8:ygdy8@yg18.dydytt.net:8018/阳光电影www.ygdy8.com.阿肯色.BD.1080p.中英双字幕.mkv
伦敦生活/伦敦生活剧场版 ,National Theatre Live: Fleabag ,2019 ,英国 ,喜剧 ,英语 ,中英双字幕 ,2019-09-12(英国) ,"9.0/10 from 2,538 users ",1920 x 1080 , GB ,107分钟 ,维姬·琼斯 Vicky Jones / Tony Grech-Smith ,ftp://ygdy8:ygdy8@yg18.dydytt.net:7019/阳光电影www.ygdy8.com.伦敦生活剧场版.BD.1080p.中英双字幕.mkv
我们召唤黑暗 ,We Summon the Darkness ,2019 ,美国 ,惊悚/恐怖 ,英语 ,中英双字幕 ,2019-12-13(美国) ,4.3/10 from 138 users ,1920 x 1080 , GB ,83分钟 ,马克·迈尔斯 Marc Meyers ,ftp://ygdy8:ygdy8@yg39.dydytt.net:6020/阳光电影www.ygdy8.com.我们召唤黑暗.BD.1080p.中英双字幕.mkv
惊天营救/极限营救/达卡 ,Extraction/Dhaka/Out of the Fire ,2020 ,美国 ,剧情/动作 ,英语 ,中英双字幕 ,2020-04-24(美国) ,"7.1/10 from 3,293 users ",1920 x 1080 ,1.94 GB ,117分钟 ,山姆·哈格雷夫 Sam Hargrave ,ftp://ygdy8:ygdy8@yg39.dydytt.net:4028/阳光电影www.ygdy8.com.惊天营救.BD.1080p.中英双字幕.mkv
狩猎的时间/狩猎时间 ,Hunting Time/Sanyangeui sigan/The Night of the Hunter/Time to Hunt ,2020 ,韩国 ,悬疑 / 惊悚 / 犯罪 ,韩语 ,中文 ,2020-02-22(柏林电影节) / 2020-04-23(韩国) ,6.0/10 from 916 users ,1920 x 1080 ,2.33 GB ,134分钟 ,尹成贤 Sung-Hyun Yoon ,ftp://ygdy8:ygdy8@yg90.dydytt.net:8067/阳光电影www.ygdy8.com.狩猎的时间.BD.1080p.韩语中字.mkv
7号房的礼物(土耳其版) ,7. Kogustaki Mucize/7. Kogustaki Mucize/Miracle in Cell No.7/Yedinci Kogustaki Mucize ,2019 ,土耳其 ,剧情 ,土耳其语 ,中英双字幕 ,2019-10-11(土耳其) ,"8.2/10 from 4,390 users ",1920 x 1080 , GB ,132分钟 ,Mehmet Ada Öztekin ,ftp://ygdy8:ygdy8@yg18.dydytt.net:7018/阳光电影www.ygdy8.com.7号房的礼物.BD.1080p.中英双字幕.mkv
格蕾特和韩塞尔/战栗糖果屋(台)/糖果屋/韩赛尔与格蕾特 ,Gretel & Hansel/Gretel and Hansel ,2020 ,"加拿大,爱尔兰,美国,南非 ",惊悚 / 恐怖 / 奇幻 ,英语 ,中英双字幕 ,2020-01-31(美国) ,5.2/10 from 688 users ,1920 x 1080 , GB ,87分钟 ,奥兹·珀金斯 Oz Perkins ,ftp://ygdy8:ygdy8@yg18.dydytt.net:8017/阳光电影www.ygdy8.com.格蕾特和韩塞尔.BD.1080p.中英双字幕.mkv
看不见的女/失散两生花(港)/她们的隐藏人生(台)/爱在姊妹失散时(澳)/隐形的女人 ,A vida invisível de Eurídice Gusmão人/Invisible Life/The Invisible Life of Euridice Gusmão/Vida Invisivel ,2019 ,巴西 ,剧情 ,葡萄牙语 ,中英双字幕 ,2019-05-20(戛纳电影节) ,"7.9/10 from 1,733 users ",1920 x 1080 ,2.27 GB ,145分钟 ,卡里姆·埃诺兹 Karim Ainouz ,ftp://ygdy8:ygdy8@yg18.dydytt.net:3028/阳光电影www.ygdy8.com.看不见的女人.BD.1080p.中英双字幕.mkv
A Brighter Summer Day ,牯岭街少年杀人事件 ,1991 ,中国台湾 ,剧情 / 犯罪 ,"汉语普通话,闽南语,上海话,粤语 ",中文 ,1991-07-27(中国台湾) ,"8.8/10 from 179,404 users ",1920 x 1040 ,3.94 GB ,237分钟(导演剪辑版) ,杨德昌 Edward Yang ,ftp://ygdy8:ygdy8@yg39.dydytt.net:3025/阳光电影www.ygdy8.com.牯岭街少年杀人事件.HD.1080p.国语中字.mkv
我们永不言弃/Knockout ,我們永不言棄 ,2020 ,中国香港 ,剧情 / 动作 ,普通话 ,中文 ,2020-04-20(中国大陆) ,"8.8/10 from 179,404 users ",1920 x 1080 ,2.63 GB ,237分钟(导演剪辑版) ,周显扬 Roy Chow Hin-Yeung ,ftp://ygdy8:ygdy8@yg90.dydytt.net:7067/阳光电影www.ygdy8.com.我们永不言弃.HD.1080p.国语中字.mkv
匹诺曹/木偶奇遇记 ,Pinocchio ,2019 ,"意大利,英国,法国 ",奇幻 ,意大利语 ,中英双字幕 ,2019-12-19(意大利) ,"6.8/10 from 2,205 users ",1920 x 1080 , GB ,124分钟 ,马提欧·加洛尼 Matteo Garrone ,ftp://ygdy8:ygdy8@yg90.dydytt.net:6014/阳光电影www.ygdy8.com.匹诺曹.BD.1080p.中英双字幕.mkv
