name,job_time,job_type,salary,pay_method,address,num,job_detail,salary_detail,job_time_detail,address_detail
陌陌电台招音频主播（20以下勿报）,工作时间：长期可做,主播,200 元/天,月结,北京,,因为音频需要相对安静的直播环境和每天3小时以上的时长 不能保证的请勿报名 谢谢配合<br/><br/>招募要求：<br/>0.音频电台主播是直播互动类 靠声音跟内容吸引用户互动关注然后付费的<br/>1.普通话非常标准 声音好听 萝莉音  少音 少御音 御姐音 王音等等<br/>2.有一定的基础 例如播音主持 汉语言 声乐等 相关专业 在其他类型的音频APP直播过等<br/>3.学历专科或者以上<br/><br/><br/>直播内容：<br/>1、音乐电台：翻唱（有声乐基础 ），分享音乐背后的故事等等 （单纯爱好请勿报名 需有基础）<br/>2、脱口秀：搞笑段子、新闻热评、电影影评人、新/星闻八卦等<br/>3、情感电台：情感故事，情感连线咨询、两性情感（阅历丰富 有一定的心理知识）等<br/><br/>直播时长 每天3-6小时。直播越稳定收益越高 偶尔玩玩的别来耽误时间了。<br/><br/>应聘的请主动联系招聘方微信 并按照要求语音回复消息 谢谢。<br/><br/>做长期根据个人直播时间跟直播时长保底工资平均时薪20起 目前稳定直播两个月后月直播时长100小时+的薪资都在8000+,['\n月结\xa0薪资:200元/天 \xa0  薪资待遇-可日结周结月结                                  '],"['', '', '不限时间地点，随时可做', '', '']",[]
北京斗米直招盒马鲜生就近分配营业员,工作时间：全职工作,营业员,4k-8k 元/月,月结,西城,,北京生鲜超市营业员6-8k元/月<br/>【工作内容】: 店内 烘焙、收银、拣货打包、切配等工作，工作环境好。高大上环境，与行业一流人才共事，共同进步<br/>【工作要求】: 40岁以下不限，需要有健康证，能吃苦耐劳，住的较近上班方便。<br/>【工作时间】: 早六晚十期间8小时排班制，<br/>【工作待遇】: 20元/小时，每月10号结算（准时靠谱）<br/>【工作地址】: 全北京就近分配,[],[],"['北京西城盒马鲜生(红莲店)                            \n                            \xa0(\n                            北京市                            西城                            )', '北京丰台角门马家堡北京丰台花乡盒马鲜生(资和信店)                            \n                            \xa0(\n                            北京市                            丰台                            )', '北京东城盒马鲜生(崇文门新世界店)                            \n                            \xa0(\n                            北京市                            东城                            )']"
望京西站蔬果配送员,工作时间：全职工作,送餐员,6k-12k 元/月,月结,朝阳望京,,工资：前三个月保底薪资6500.基本薪资3000+4元一单，好评+1元，综合薪资6500—12000，计件工资，多劳多得，上不封顶。,[],[],['中广·宜景湾-503号楼                            \n                            \xa0(\n                            北京市                            朝阳                            )']
斗米直招生鲜超市配送,工作时间：全职工作,快递配送,7k-12k 元/月,月结,西城西直门,,"提供电动车生鲜连锁超市配送员<br/><br/>工作内容：负责自己工作的店面周边3公里的订单配送<br/>工作时间：7:00-20:00,8:00-21:00，上六休一<br/>工资待遇：4000底薪(含800单)+5-7元/单提成，均薪8000-12000<br/>另冲单奖：1000-1200单奖励1600，1200-1400单奖励1900，1400-1600单奖励2100，1600+奖励2500。日均40-80单，新员工首月激励800元。<br/>工作要求：20-40岁以内，会骑电动车。<br/>工作地址：全北京就近分配",[],[],"['西直门                            \n                            \xa0(\n                            北京市                            西城                            )', '大成                            \n                            \xa0(\n                            北京市                            朝阳                            )', '乐城                            \n                            \xa0(\n                            北京市                            西城                            )']"
就近分配固定站点生鲜连锁超市配送员,工作时间：全职工作,快递配送,7k-12k 元/月,月结,西城西直门,,"提供电动车生鲜连锁超市配送员<br/><br/>工作内容：负责自己工作的店面周边3公里的订单配送<br/>工作时间：7:00-20:00,8:00-21:00，上六休一<br/>工资待遇：4000底薪(含800单)+5-7元/单提成，均薪8000-12000<br/>另冲单奖：1000-1200单奖励1600，1200-1400单奖励1900，1400-1600单奖励2100，1600+奖励2500。日均40-80单，新员工首月激励800元。<br/>工作要求：20-40岁以内，会骑电动车。<br/>工作地址：全北京就近分配",[],[],"['西直门                            \n                            \xa0(\n                            北京市                            西城                            )', '大成                            \n                            \xa0(\n                            北京市                            朝阳                            )', '乐城                            \n                            \xa0(\n                            北京市                            西城                            )']"
斗米直招月薪上万配送员,工作时间：全职工作,快递配送,7k-12k 元/月,月结,西城西直门,,"提供电动车生鲜连锁超市配送员<br/><br/>工作内容：负责自己工作的店面周边3公里的订单配送<br/>工作时间：7:00-20:00,8:00-21:00，上六休一<br/>工资待遇：4000底薪(含800单)+5-7元/单提成，均薪8000-12000<br/>另冲单奖：1000-1200单奖励1600，1200-1400单奖励1900，1400-1600单奖励2100，1600+奖励2500。日均40-80单，新员工首月激励800元。<br/>工作要求：20-40岁以内，会骑电动车。<br/>工作地址：全北京就近分配",[],[],"['西直门                            \n                            \xa0(\n                            北京市                            西城                            )', '大成                            \n                            \xa0(\n                            北京市                            朝阳                            )', '乐城                            \n                            \xa0(\n                            北京市                            西城                            )']"
斗米直招固定站点配送提供车,工作时间：全职工作,快递配送,7k-12k 元/月,月结,西城西直门,,"提供电动车生鲜连锁超市配送员<br/><br/>工作内容：负责自己工作的店面周边3公里的订单配送<br/>工作时间：7:00-20:00,8:00-21:00，上六休一<br/>工资待遇：4000底薪(含800单)+5-7元/单提成，均薪8000-12000<br/>另冲单奖：1000-1200单奖励1600，1200-1400单奖励1900，1400-1600单奖励2100，1600+奖励2500。日均40-80单，新员工首月激励800元。<br/>工作要求：20-40岁以内，会骑电动车。<br/>工作地址：全北京就近分配",[],[],"['西直门                            \n                            \xa0(\n                            北京市                            西城                            )', '大成                            \n                            \xa0(\n                            北京市                            朝阳                            )', '乐城                            \n                            \xa0(\n                            北京市                            西城                            )']"
北京直招-盒马鲜生连锁超市配送骑手,工作时间：全职工作,送餐员,8k-11k 元/月,月结,朝阳大屯,,"招聘岗位：<br/>配送员（入职无任何费用）<br/>【经营模式】：线上电商+线下门店+驻店配送<br/>【配送范围】：3公里内配送，配送范围小，固定门店取货，一点对多点（同方向订单一次可以带走6-10单），方便快捷。<br/>【配送货物】：生鲜，水果，蔬菜，面包，饮料零食等小件商品。<br/>【取单模式】：手机APP系统排队取单，无需抢单，不人为派单！系统优化派单，每趟能带走6-8单左右。<br/>【薪资架构】：每单4.9-7.3元提成，每月完成：800-1000单奖励800元，1000-1200单奖励1600元，1200-1400单奖励1900元，1400-1600单奖励2100元，1600+奖励2500元,日均50-80单，综合薪资8000-12000每月。<br/>新员工首月激励：800元奖金<br/>【员工福利】<br/>1.店内提供电动车（无押金，无需分期）及充电（店内免费充电），可以骑着上下班。<br/>2.两组60V电瓶（不抗电免费更换）<br/>3.免费工作服装备（头盔、雨衣、防风衣、护膝、手套等）<br/>4.意外保险+第三方责任险+高/低温补贴（恶劣天气奖励）<br/>岗位要求：<br/>需要健康证，身份证。<br/>会使用手机导航<br/>年龄20-45岁之间<br/>【工作时间】<br/>12小时店里排班",[],[],"['亚运村                            \n                            \xa0(\n                            北京市                            朝阳                            )', '西二旗万科                            \n                            \xa0(\n                            北京市                            昌平                            )', '盒马鲜生小营                            \n                            \xa0(\n                            北京市                            朝阳                            )']"
高薪美团买菜就近分配 打包分拣员,工作时间：全职工作,店员,6k-9k 元/月,月结,海淀中关村,,不对外营业 生鲜配送好站点 店员招聘<br/>工作内容：<br/>1.将客户订单上的物品打包好等配送员来取<br/>2.负责接货，上货，盘点<br/>3.负责接听客户打进来的咨询以及投诉电话<br/>工作时间：<br/>早班：07:00-19:00<br/>中班：09:00-21:00<br/>晚班：20:00-08:00（夜班补助30元每天）<br/>轮休：上六休一<br/>工作要求：<br/>1. 20-40岁，初高中以上学历，有仓库或零售工作经验优先<br/>2. 吃苦耐劳，能接受较强的工作压力；工作认真负责。<br/>3. 能适应轮班和夜班的工作安排及主管的其他任务安排<br/><br/><br/>工资待遇：2600元底薪+2480元绩效+900元房/餐补<br/>工作地点：全北京就近分配,[],[],"['豪柏大厦                            \n                            \xa0(\n                            北京市                            海淀                            )', '房山长阳站                            \n                            \xa0(\n                            北京市                            房山                            )', '七里庄站                            \n                            \xa0(\n                            北京市                            丰台                            )']"
重磅！月薪过万，就近分配 APP推广员,工作时间：全职工作,实习生,8k-20k 元/月,月结,房山,,轻松月薪过万名企！<br/>生鲜配送站点  APP推广！<br/>工作内容：在工作的站点附近通过赠送礼品的方式生鲜超市推广APP。<br/>工作时间：9.00-19.00<br/>工作地点：全北京就近分配！！<br/>工作要求：不限，踏实肯干，吃苦耐劳<br/>工资待遇：3000元底薪+12元---14元 一单提成，综合工资8K-20K！,[],[],"['房山长阳站                            \n                            \xa0(\n                            北京市                            房山                            )', '七里庄站                            \n                            \xa0(\n                            北京市                            丰台                            )', '大红门站                            \n                            \xa0(\n                            北京市                            丰台                            )']"
