name,job_time,job_type,salary,pay_method,address,num,job_detail,salary_detail,job_time_detail,address_detail
陌陌电台招音频主播（20以下勿报）,工作时间：长期可做,主播,200 元/天,月结,北京,,因为音频需要相对安静的直播环境和每天3小时以上的时长 不能保证的请勿报名 谢谢配合<br/><br/>招募要求：<br/>0.音频电台主播是直播互动类 靠声音跟内容吸引用户互动关注然后付费的<br/>1.普通话非常标准 声音好听 萝莉音  少音 少御音 御姐音 王音等等<br/>2.有一定的基础 例如播音主持 汉语言 声乐等 相关专业 在其他类型的音频APP直播过等<br/>3.学历专科或者以上<br/><br/><br/>直播内容：<br/>1、音乐电台：翻唱（有声乐基础 ），分享音乐背后的故事等等 （单纯爱好请勿报名 需有基础）<br/>2、脱口秀：搞笑段子、新闻热评、电影影评人、新/星闻八卦等<br/>3、情感电台：情感故事，情感连线咨询、两性情感（阅历丰富 有一定的心理知识）等<br/><br/>直播时长 每天3-6小时。直播越稳定收益越高 偶尔玩玩的别来耽误时间了。<br/><br/>应聘的请主动联系招聘方微信 并按照要求语音回复消息 谢谢。<br/><br/>做长期根据个人直播时间跟直播时长保底工资平均时薪20起 目前稳定直播两个月后月直播时长100小时+的薪资都在8000+,['\n月结\xa0薪资:200元/天 \xa0  薪资待遇-可日结周结月结                                  '],"['', '', '不限时间地点，随时可做', '', '']",[]
斗米直招高薪短距离配送,工作时间：全职工作,快递配送,7k-12k 元/月,月结,朝阳,,"免费提供电动车生鲜连锁超市配送员<br/><br/>工作内容：负责自己工作的店面周边3公里的订单配送<br/>工作时间：7:00-20:00,8:00-21:00，上六休一<br/>工资待遇：4000底薪(含800单)+5-7元/单提成，均薪8000-12000<br/>另冲单奖：1000-1200单奖励1600，1200-1400单奖励1900，1400-1600单奖励2100，1600+奖励2500。日均40-80单，新员工首月激励800元。<br/>工作要求：20-40岁以内，会骑电动车。<br/>工作地址：全北京就近分配",[],[],"['立水桥                            \n                            \xa0(\n                            北京市                            朝阳                            )', '北京大成店站                            \n                            \xa0(\n                            北京市                            丰台                            )', '北京东坝店站                            \n                            \xa0(\n                            北京市                            朝阳                            )']"
斗米“微猎头”欢迎您的加入,工作时间：全职工作,招聘专员,5k-20k 元/月,月结,朝阳朝外,,《加入“微猎头”轻松赚外快》   随时有收入，兼职，全职皆可加入<br/><br/>【无限制，随时加入】<br/>各行各业，不限人群都可加入；无需要坐班，随时加入，时时赚钱；不收任何费用，赚钱都归自己；只需利用空暇时间，转发朋友圈或在线推荐报名我们的招聘职位，即可加入。<br/><br/>【赚钱容易，时时有收入】<br/>把有找工作需求的人推荐给我们，即可获得相应的奖金。您推荐的人员只要一直上班并产生利润，我们就会按时发放给您猎头奖金。<br/><br/>【结算快，天天有工资】<br/>根据不同项目计费要求，可以随时知道当前收入情况。猎头费用及时结算。,[],[],"['朝阳区                            \n                            \xa0(\n                            北京市                            朝阳                            )', '昌平区                            \n                            \xa0(\n                            北京市                            昌平                            )', '房山区                            \n                            \xa0(\n                            北京市                            房山                            )']"
京东到家推广员,工作时间：长期可做,地推拉访,300 元/天,周结,西城,,京东到家推广员，周结算<br/>工作时间：14:00-19:00<br/>工作内容： 在固定点位推广京东到家APP，让客户领优惠券下单送礼品<br/>工资待遇：一单15元➕3元提成，日薪:200-500。多劳多得，平均出单量20-50单不等<br/>工作要求：不限，性格外向。<br/>工作地点：方庄，六里桥，马连道，旧宫，双龙，紫竹桥，彰化路，北京区域内就近分配,['\n周结\xa0薪资:300元/天 \xa0                                 '],"['2019年12月08日', '', '', '14:00-17:00', '', '2020年12月08日', '']","['果香四溢(马连道店)                            \n                            \xa0(\n                            北京市                            西城                            )', '果香四溢水果超市(六里桥店)                            \n                            \xa0(\n                            北京市                            丰台                            )', '果香四溢生鲜超市(旧宫店)                            \n                            \xa0(\n                            北京市                            大兴                            )']"
配送站 餐食区域 打包员,工作时间：全职工作,打包分拣,5.8k-6.5k 元/月,月结,昌平天通苑,,"配送站 餐食区域 负责人<br/><br/>工作内容：将顾客订单上的餐食经过加热，搅拌等简单工序后 打包好，等配送员来取就行了。<br/>1.负麦店铺临期食品检查,盘点,做好食品安全,防损工作<br/>2.负麦店铺食品的备货、补货、制作、报损工作<br/>3.负麦店铺理货、整理货柜工作<br/>4.负麦店铺日常清洁工作<br/>职位要求<br/>1.认同公司企业文化,思想统一<br/>2.年龄18-35岁,身体健康<br/>3.接受店长的安排的工作岗位,接受倒班制可以上早班(5:30-6:00上)或晚班(23:00-23:30<br/>下),服从分配<br/>工资待遇：3000元底薪+1000元补贴+0-1800元提成",[],[],"['北京-北京-昌平-天通苑-北京市昌平区太平庄东路国泰百货一层每日优鲜                            \n                            \xa0(\n                            北京市                            昌平                            )', '北京-北京-朝阳-大屯-北京市朝阳区安慧北里秀园甲18号                            \n                            \xa0(\n                            北京市                            朝阳                            )', '北京-北京-朝阳-红庙-北京市朝阳区延静里中街20号嘉信商务楼1楼每日优鲜                            \n                            \xa0(\n                            北京市                            朝阳                            )']"
零食水果订单分拣打包员,工作时间：全职工作,打包分拣,4k-6k 元/月,月结,昌平天通苑,,零食水果订单分拣打包员<br/>工作内容：负责店内订单的分拣、打包；货物的接收、上架；商品质量的关注等<br/>工作时间：<br/>早班：07:00-19:00<br/>中班：09:00-21:00<br/>晚班：20:00-08:00<br/>上六休一，轮休。<br/>工作要求：<br/>1、年龄18-35岁，身体健康（持有健康证）；<br/>2、为人细致、认真、能吃苦耐劳、有很强的责任心和团队意识；<br/>岗位职责：<br/>1、保证客户订单，按时按质量分拣出库；<br/>2、维护分区库存，保证分区库存准确；<br/>3、维护责任区域卫生；<br/>工资待遇：<br/>1.白班：底薪4000+计件提成+全勤200奖金<br/>2.夜班：底薪4000+计件提成+夜班补助500元+全勤200奖金<br/>工作地点：全北京就近分配。,[],[],"['北京市昌平区太平庄东路国泰百货一层每日优鲜                            \n                            \xa0(\n                            北京市                            昌平                            )', '北京市朝阳区安慧北里秀园甲18号                            \n                            \xa0(\n                            北京市                            朝阳                            )', '北京市朝阳区延静里中街20号嘉信商务楼1楼每日优鲜                            \n                            \xa0(\n                            北京市                            朝阳                            )']"
高薪短距离配送,工作时间：全职工作,快递配送,7k-12k 元/月,月结,朝阳,,"免费提供电动车生鲜连锁超市配送员<br/><br/>工作内容：负责自己工作的店面周边3公里的订单配送<br/>工作时间：7:00-20:00,8:00-21:00，上六休一<br/>工资待遇：4000底薪(含800单)+5-7元/单提成，均薪8000-12000<br/>另冲单奖：1000-1200单奖励1600，1200-1400单奖励1900，1400-1600单奖励2100，1600+奖励2500。日均40-80单，新员工首月激励800元。<br/>工作要求：20-40岁以内，会骑电动车。<br/>工作地址：全北京就近分配",[],[],"['立水桥                            \n                            \xa0(\n                            北京市                            朝阳                            )', '北京大成店站                            \n                            \xa0(\n                            北京市                            丰台                            )', '北京东坝店站                            \n                            \xa0(\n                            北京市                            朝阳                            )']"
高薪-公司配电动车-固定站点配送员,工作时间：全职工作,快递配送,8k-10k 元/月,月结,昌平天通苑,,高薪-公司配电动车-固定站点配送员<br/>工作内容：负责所属站点3公里以内的订单配送（都是小件，一次就可以拿20家）<br/>工作时间：9.00-23.00都可以<br/>工作地点：就近分配<br/>工作要求：不限，18-35岁。<br/>工资待遇:3000底薪+4元一单提成+超重+大额+远件 提成,[],[],"['北京市昌平区太平庄东路国泰百货一层每日优鲜                            \n                            \xa0(\n                            北京市                            昌平                            )', '北京市朝阳区安慧北里秀园甲18号                            \n                            \xa0(\n                            北京市                            朝阳                            )', '北京市朝阳区延静里中街20号嘉信商务楼1楼每日优鲜                            \n                            \xa0(\n                            北京市                            朝阳                            )']"
北京朝阳区盒马鲜生配送（免费保险电动车）,工作时间：全职工作,快递配送,10k-15k 元/月,月结,东城,,"免费提供电动车生鲜连锁超市配送员<br/>工作内容：负责自己工作的店面周边1.5公里的订单配送！<br/>工作时间:7:00-20:00,8.00-21:00，上六休一！<br/>工资待遇：9200元以上每月（需要完成1800单任务量）底薪+4.9-7.3元/单提成<br/>工作地点：全北京就近分配！！<br/>工作要求：20-40岁以内，会骑电动车。！！<br/>员工福利：<br/>1.免费保险<br/>2.免费提供电动车<br/>3.节假日福利和不定期员工关怀！",[],[],"['北京百荣世贸店配送站                            \n                            \xa0(\n                            北京市                            东城                            )', '北京崇文门新世界店配送站                            \n                            \xa0(\n                            北京市                            东城                            )', '北京大成店站                            \n                            \xa0(\n                            北京市                            西城                            )']"
北京斗米直招盒马鲜生就近分配营业员,工作时间：全职工作,营业员,4k-8k 元/月,月结,西城,,北京生鲜超市营业员6-8k元/月<br/>【工作内容】: 店内 烘焙、收银、拣货打包、切配等工作，工作环境好。高大上环境，与行业一流人才共事，共同进步<br/>【工作要求】: 40岁以下不限，需要有健康证，能吃苦耐劳，住的较近上班方便。<br/>【工作时间】: 早六晚十期间8小时排班制，<br/>【工作待遇】: 20元/小时，每月10号结算（准时靠谱）<br/>【工作地址】: 全北京就近分配,[],[],"['北京西城盒马鲜生(红莲店)                            \n                            \xa0(\n                            北京市                            西城                            )', '北京丰台角门马家堡北京丰台花乡盒马鲜生(资和信店)                            \n                            \xa0(\n                            北京市                            丰台                            )', '北京东城盒马鲜生(崇文门新世界店)                            \n                            \xa0(\n                            北京市                            东城                            )']"
